,eav_id,title,subtitle,n_rooms,n_bedrooms,n_bathrooms,useful_area,built_area,land_area,price,built_year,energy_class,energy_consumption,co2_emission,co2_emission_scale,protected,status,parking,garage,floor_cover,property_subclass,terrace_area,heating_type,location_status
891,W-02RF4O,ÁTICO CON IMPRESIONANTE TERRAZA - VISTAS MAR,"Apartamento, Comprar | España, Barcelona, Maresme, Sant Andreu de Llavaneres",4,4,2,127 m²,127 m²,,765.000 EUR,2012,G,223 kWh/(m²*a),55 kg/m²,G,False,Muy bien,3,3,,Loft / Ático,163 m²,,Muy bien
892,W-02NBH7,LUMINOSO PISO EN VENTA EN DIAGONAL MAR,"Apartamento, Comprar | España, Barcelona, SANT MARTIN, Diagonal Mar i El Front Marítim del Poblenou",2,2,2,92 m²,92 m²,,765.000 EUR,2003,D,71 kWh/(m²*a),15 kg/m²,D,False,,1,,,Apartamento,18 m²,,Excelente
893,W-027402,MAGNÍFICO PISO EN DIAGONAL MAR,"Apartamento, Comprar | España, Barcelona, SANT MARTIN, Diagonal Mar i El Front Marítim del Poblenou",2,2,2,88 m²,88 m²,,762.000 EUR,2004,D,71 kWh/(m²*a),15 kg/m²,D,False,Excelente,1,,,Apartamento,15 m²,,Excelente
894,W-02R6XU,MAGNÍFICO PISO EN SANT GERVASI,"Apartamento, Comprar | España, Barcelona, Sant Gervasi, Bonanova",3,3,2,81 m²,81 m²,,760.000 EUR,2022,B,30 kWh/(m²*a),5 kg/m²,A,True,Excelente,,28,,Apartamento,,,Excelente
895,W-02R3WU,FENOMENAL ÁTICO DE OBRA NUEVA DEL 2020,"Apartamento, Comprar | España, Barcelona, Sant Gervasi, Galvany",2,2,1,93 m²,"93,14 m²",,760.000 EUR,2020,A,7 kWh/(m²*a),1 kg/m²,A,False,Excelente,1,,,Loft / Ático,14 m²,,Muy bien
896,W-02QNBA,PISO DE DISEÑO A METROS DE PASSEIG DE GRÀCIA,"Apartamento, Comprar | España, Barcelona, Eixample, Eixample Dreta",3,3,2,115 m²,115 m²,,760.000 EUR,1900,F,324 kWh/(m²*a),55 kg/m²,F,False,Excelente,,,,Apartamento,,,Excelente
897,W-02K5SL,MODERNO PISO REFORMADO JUNTO PL KENNEDY,"Apartamento, Comprar | España, Barcelona, Sant Gervasi, Putxet",4,4,2,130 m²,130 m²,,760.000 EUR,1958,D,101 kWh/(m²*a),17 kg/m²,D,False,Excelente,1,,,Apartamento,,,Muy bien
898,W-02QSK4,BONITO PISO ALTO EN ENRIC GRANADOS,"Apartamento, Comprar | España, Barcelona, Eixample, Eixample Esquerra",3,3,3,113 m²,113 m²,,759.000 EUR,1910,E,163 kWh/(m²*a),34 kg/m²,E,False,Excelente,,,,Loft / Ático,,,Excelente
899,W-02CNO4,MAGNÍFICO APARTAMENTO EN DIAGONAL MAR,"Apartamento, Comprar | España, Barcelona, SANT MARTIN, Diagonal Mar i El Front Marítim del Poblenou",2,2,2,71 m²,71 m²,,757.000 EUR,2003,E,62 kWh/(m²*a),13 kg/m²,E,False,Excelente,1,,,Apartamento,9 m²,,Excelente
900,W-02RPY9,GRAN PISO A REFORMAR EN EIXAMPLE DRET,"Apartamento, Comprar | España, Barcelona, Eixample, Eixample Dreta",5,5,2,141 m²,141 m²,,756.000 EUR,1900,,,,,False,Necesita restauración,,,,Apartamento,"5,36 m²",,Muy bien
901,W-02QMRO,PISO DE OBRA NUEVA EN BADALONA,"Apartamento, Comprar | España, Barcelona, Badalona, Front Marítim",3,3,2,108 m²,108 m²,,755.000 EUR,,A,19 kWh/(m²*a),3 kg/m²,A,False,Excelente,,,,Apartamento,"16,4 m²",,Excelente
902,W-02RC1D,ESPECTACULAR PISO MODERNISTA EN FINCA REGIA EN EIXAMPLE,"Apartamento, Comprar | España, Barcelona, Eixample, Eixample Dreta",3,3,2,140 m²,140 m²,,754.000 EUR,1900,,,,,False,Excelente,,,,Apartamento,"4,17 m²",,Excelente
903,W-02QV51,GRAN PISO A REFORMAR EN EIXAMPLE DRET,"Apartamento, Comprar | España, Barcelona, Eixample, Eixample Dreta",5,5,2,155 m²,155 m²,,752.000 EUR,1900,E,160 kWh/(m²*a),37 kg/m²,E,False,Necesita restauración,,,,Apartamento,"14,68 m²",,Muy bien
904,W-02RGHA,EXCLUSIVA PROMOCION EN SAGRADA FAMILIA,"Apartamento, Comprar | España, Barcelona, Eixample, Sagrada Familia",3,3,2,109 m²,109 m²,,750.000 EUR,2024,APLUSPLUS,25 kWh/(m²*a),4 kg/m²,A,False,Excelente,,,,Apartamento,11 m²,,Excelente
905,W-02R296,FANTÁSTICO SOBREÁTICO EN BONANOVA,"Apartamento, Comprar | España, Barcelona, Sant Gervasi, Bonanova",2,2,2,103 m²,103 m²,,750.000 EUR,1975,G,275 kWh/(m²*a),58 kg/m²,G,False,Muy bien,,,,Loft / Ático,20 m²,,Excelente
906,W-02QK35,SOLEADO PISO A LA VENTA EN SARRIÁ,"Apartamento, Comprar | España, Barcelona, Sant Gervasi, Tres Torres",4,4,2,,120 m²,,750.000 EUR,1980,E,125 kWh/(m²*a),26 kg/m²,E,False,Bien,1,,,Apartamento,,,Excelente
907,W-02QF0P,ESPECTACULAR CASA ADOSADA EN FONTSANTA,"Casa, Comprar | España, Barcelona, Sant Just - Esplugues, Sant Joan Despí",5,5,4,242 m²,242 m²,,750.000 EUR,2006,D,127 kWh/(m²*a),26 kg/m²,D,False,Excelente,1,1,,Casa,,,Excelente
908,W-02QATU,MAGNÍFICO PISO EN FINCA REGIA DE EIXAMPLE,"Apartamento, Comprar | España, Barcelona, Eixample, Eixample Esquerra",3,3,2,98 m²,98 m²,,750.000 EUR,1920,E,122 kWh/(m²*a),22 kg/m²,D,False,Muy bien,,,,Apartamento,,,Excelente
909,W-02Q7JZ,MAGNÍFICA VIVIENDA REFORMADA EN PEDRALBES,"Apartamento, Comprar | España, Barcelona, Pedralbes, Pedralbes",2,2,2,100 m²,100 m²,,750.000 EUR,1967,F,233 kWh/(m²*a),44 kg/m²,E,False,Excelente,,,,Apartamento,,,Excelente
910,W-02PXAG,FANTÁSTICO PISO CON TERRAZA ZONA FRANCESC MACIÀ,"Apartamento, Comprar | España, Barcelona, Eixample, Eixample Esquerra",3,3,2,110 m²,110 m²,,750.000 EUR,1967,G,245 kWh/(m²*a),47 kg/m²,E,False,Muy bien,,,,Apartamento,,,Excelente
911,W-02OSAS,DÚPLEX ÚNICO EN SANT GERVASI,"Apartamento, Comprar | España, Barcelona, Sant Gervasi, Putxet",1,1,1,325 m²,325 m²,,750.000 EUR,,E,118 kWh/(m²*a),31 kg/m²,E,False,Necesita renovaciones,,,,Apartamento,15 m²,,Excelente
